region_id,population,population_rounded,target_population,population_ratio,area_m2,area_sqmi,population_density_per_sqmi,centroid_x,centroid_y,centroid_lon,centroid_lat
area_pop_003261,3022.677048860681,3023,8432.079434167574,0.3584735025873347,303514.2316799957,0.11718749999999835,25793.510816944843,41222.98986277138,212609.03080712634,-77.02443186028636,38.91670671466284
area_pop_003262,2261.1528281044834,2261,8432.079434167574,0.2681607598408147,303514.2316799957,0.11718749999999835,19295.1707998252,41773.91112001237,212609.03080712634,-77.01807627323545,38.916682168965075
area_pop_003263,3700.162875023464,3700,8432.079434167574,0.43881973644959493,303514.2316799957,0.11718749999999835,31574.72320020067,42324.83237725338,212609.03080712634,-77.01172069033582,38.91665729741335
area_pop_003264,1094.5319552353005,1095,8432.079434167574,0.12980569784484652,4856227.706879998,1.8749999999999991,583.7503761254939,-8084.462660297782,212884.4914357468,-77.59327001182288,38.92006648732262
area_pop_003265,3251.006106049854,3251,8432.079434167574,0.38555212049787785,4856227.706879998,1.8749999999999991,1733.8699232265897,730.2774555581586,212884.4914357468,-77.49157482560514,38.92010128786818
area_pop_003266,5620.031170523215,5620,8432.079434167574,0.6665059567335577,4856227.706880004,1.8750000000000016,2997.349957612379,20563.44271623402,212884.4914357468,-77.26276106622709,38.91987457037
area_pop_003267,10487.347908221715,10487,8432.079434167574,1.2437439649496187,4856227.706880004,1.8750000000000016,5593.252217718243,22767.127745198013,212884.4914357468,-77.23733743196264,38.919823309655285
area_pop_003268,7004.950246036777,7005,8432.079434167574,0.8307500303723496,4856227.706879998,1.8749999999999991,3735.9734645529493,-5880.777631333796,212884.49143574684,-77.5678462257918,38.92008300845695
area_pop_003269,10485.79837815803,10486,8432.079434167574,1.2435601988838714,4856227.706879998,1.8749999999999991,5592.425801684285,-3677.0926023698116,212884.49143574684,-77.54242243040889,38.92009431559392
area_pop_003270,10151.821644461017,10152,8432.079434167574,1.2039523256060525,4856227.706879998,1.8749999999999991,5414.304877045878,-1473.4075734058265,212884.49143574684,-77.51699862917854,38.92010040873141
area_pop_003271,179.00179818928513,179,8432.079434167574,0.021228666023229467,4856227.706879998,1.8749999999999991,95.46762570095211,2933.962484522144,212884.49143574684,-77.46615102319305,38.92009695300412
area_pop_003272,130.35414759769628,130,8432.079434167574,0.015459312096787074,4856227.706879998,1.8749999999999991,69.52221205210472,5137.647513486129,212884.49143574684,-77.44072722544664,38.92008740414003
area_pop_003273,8036.43465940799,8036,8432.079434167574,0.9530786233872045,4856227.706879998,1.8749999999999991,4286.098485017596,7341.332542450114,212884.49143574684,-77.4153034358703,38.92007264127775
area_pop_003274,7266.348156360126,7266,8432.079434167574,0.861750439270793,4856227.70688,1.875,3875.385683392067,9545.0175714141,212884.49143574684,-77.38987965796838,38.92005266442011
area_pop_003275,3383.965082631965,3384,8432.079434167574,0.401320351527978,4856227.706879996,1.8749999999999982,1804.7813774037163,18359.757687270037,212884.49143574684,-77.28818473319186,38.91992061712722
area_pop_003276,8445.524475259317,8446,8432.079434167574,1.0015945107249895,4856227.706879996,1.8749999999999982,4504.279720138306,27174.49780312598,212884.49143574684,-77.18649027555159,38.91970514639364
area_pop_003277,1360.9913117391604,1361,8432.079434167574,0.1614063674761289,4856227.706879996,1.8749999999999982,725.862032927553,62433.45826654972,212884.49143574684,-76.77972160159514,38.91800904607085
area_pop_003278,2823.7430407550064,2824,8432.079434167574,0.3348809819453237,4856227.706879996,1.8749999999999982,1505.9962884026716,11748.702600378085,212884.49143574687,-77.36445589524524,38.92002747357092
area_pop_003279,3630.2400121607275,3630,8432.079434167574,0.43052725493199884,4856227.706879996,1.8749999999999982,1936.128006485723,13952.38762934207,212884.49143574687,-77.33903215120522,38.919997068735
area_pop_003280,1247.6141641428853,1248,8432.079434167574,0.14796043774059292,4856227.706879996,1.8749999999999982,665.3942208762062,16156.072658306053,212884.49143574687,-77.31360842935266,38.91996144991817
area_pop_003281,7441.301790931626,7441,8432.079434167574,0.8824990145110322,4856227.706879996,1.8749999999999982,3968.6942884968707,29378.18283208997,212884.49143574687,-77.16106676041336,38.919638243869315
area_pop_003282,2965.5012722970273,2966,8432.079434167574,0.35169275804975686,4856227.706879996,1.8749999999999982,1581.6006785584161,49211.34809276583,212884.49143574687,-76.93225764691972,38.918801496962566
